 time                    	t_db                     	RH                       	Rad                      	load                     	
  +6.2400000000000000E+03	  +1.9750000000000000E+01	  +9.1000000000000000E+01	  +0.0000000000000000E+00	  +3.5481432628171356E+03	
  +6.2410000000000000E+03	  +1.9553125381469727E+01	  +9.0000000000000000E+01	  +0.0000000000000000E+00	  +8.3047740188174103E+03	
  +6.2420000000000000E+03	  +1.9659376144409180E+01	  +8.9000000000000000E+01	  +0.0000000000000000E+00	  +8.4181868545893576E+03	
  +6.2430000000000000E+03	  +1.9700000762939453E+01	  +8.9000000000000000E+01	  +0.0000000000000000E+00	  +8.4354645413930612E+03	
  +6.2440000000000000E+03	  +1.9700000762939453E+01	  +8.9500000000000000E+01	  +0.0000000000000000E+00	  +8.4148875396997246E+03	
  +6.2450000000000000E+03	  +1.9700000762939453E+01	  +9.0500000000000000E+01	  +0.0000000000000000E+00	  +8.3849070278344934E+03	
  +6.2460000000000000E+03	  +1.9700000762939453E+01	  +9.2500000000000000E+01	  +0.0000000000000000E+00	  +8.3509230667440534E+03	
  +6.2470000000000000E+03	  +2.0300001144409180E+01	  +9.1500000000000000E+01	  +3.6719998168945312E+02	  +1.2170906653075854E+04	
  +6.2480000000000000E+03	  +2.2100000381469727E+01	  +8.6500000000000000E+01	  +1.0944000244140625E+03	  +1.6643884905440711E+04	
  +6.2490000000000000E+03	  +2.3750000000000000E+01	  +8.1500000000000000E+01	  +1.8791999511718750E+03	  +2.3693299162195071E+04	
  +6.2500000000000000E+03	  +2.5227500915527344E+01	  +7.7000000000000000E+01	  +1.9583999023437500E+03	  +2.4218426819107393E+04	
  +6.2510000000000000E+03	  +2.5797500610351562E+01	  +7.4000000000000000E+01	  +1.8720000000000000E+03	  +2.3794338540845427E+04	
  +6.2520000000000000E+03	  +2.6353570938110352E+01	  +7.1500000000000000E+01	  +2.3651999511718750E+03	  +2.4012752810507915E+04	
  +6.2530000000000000E+03	  +2.6951429367065430E+01	  +6.9500000000000000E+01	  +2.1491999511718750E+03	  +2.4489550816508632E+04	
  +6.2540000000000000E+03	  +2.7112857818603516E+01	  +6.8500000000000000E+01	  +1.7855999755859375E+03	  +2.4704553972618218E+04	
  +6.2550000000000000E+03	  +2.7307142257690430E+01	  +6.8000000000000000E+01	  +2.0375999755859375E+03	  +2.6691458335803232E+04	
  +6.2560000000000000E+03	  +2.6900001525878906E+01	  +6.9500000000000000E+01	  +6.1920001220703125E+02	  +2.1942553549258650E+04	
  +6.2570000000000000E+03	  +2.6100000381469727E+01	  +7.3000000000000000E+01	  +4.5000000000000000E+02	  +2.0411258002129471E+04	
  +6.2580000000000000E+03	  +2.5137502670288086E+01	  +7.7000000000000000E+01	  +3.6000000000000000E+01	  +1.7662253144851831E+04	
  +6.2590000000000000E+03	  +2.4549999237060547E+01	  +8.0000000000000000E+01	  +0.0000000000000000E+00	  +1.2796485030980750E+04	
  +6.2600000000000000E+03	  +2.4250000000000000E+01	  +8.1500000000000000E+01	  +0.0000000000000000E+00	  +1.2120520011996998E+04	
  +6.2610000000000000E+03	  +2.3906250000000000E+01	  +8.3000000000000000E+01	  +0.0000000000000000E+00	  +1.1651703807958178E+04	
  +6.2620000000000000E+03	  +2.3549999237060547E+01	  +8.4500000000000000E+01	  +0.0000000000000000E+00	  +1.1283886411743053E+04	
  +6.2630000000000000E+03	  +2.3193750381469727E+01	  +8.5000000000000000E+01	  +0.0000000000000000E+00	  +1.0974611571488464E+04	
  +6.2640000000000000E+03	  +2.2850000381469727E+01	  +8.5500000000000000E+01	  +0.0000000000000000E+00	  +1.0705476673865627E+04	
  +6.2650000000000000E+03	  +2.2550001144409180E+01	  +8.5500000000000000E+01	  +0.0000000000000000E+00	  +1.5469712722115088E+04	
  +6.2660000000000000E+03	  +2.2206249237060547E+01	  +8.5500000000000000E+01	  +0.0000000000000000E+00	  +1.5438512456598586E+04	
  +6.2670000000000000E+03	  +2.1850000381469727E+01	  +8.7000000000000000E+01	  +0.0000000000000000E+00	  +1.5306417920254020E+04	
  +6.2680000000000000E+03	  +2.1500000000000000E+01	  +8.9000000000000000E+01	  +0.0000000000000000E+00	  +1.5142548068456786E+04	
  +6.2690000000000000E+03	  +2.1144485473632812E+01	  +9.1000000000000000E+01	  +0.0000000000000000E+00	  +1.4960828666734935E+04	
  +6.2700000000000000E+03	  +2.0611768722534180E+01	  +9.3500000000000000E+01	  +0.0000000000000000E+00	  +1.4699825025108819E+04	
  +6.2710000000000000E+03	  +2.1199996948242188E+01	  +9.3000000000000000E+01	  +2.3759999084472656E+02	  +1.6120260993971848E+04	
  +6.2720000000000000E+03	  +2.2400001525878906E+01	  +8.9000000000000000E+01	  +7.3079998779296875E+02	  +1.9115606654196301E+04	
  +6.2730000000000000E+03	  +2.3153123855590820E+01	  +8.7000000000000000E+01	  +5.9400000000000000E+02	  +2.2379540900900090E+04	
  +6.2740000000000000E+03	  +2.3396875381469727E+01	  +8.5500000000000000E+01	  +9.2519995117187500E+02	  +2.3625773832399402E+04	
  +6.2750000000000000E+03	  +2.3600000381469727E+01	  +8.3500000000000000E+01	  +6.4800000000000000E+02	  +2.3179981093554808E+04	
  +6.2760000000000000E+03	  +2.3600000381469727E+01	  +8.2500000000000000E+01	  +6.5520001220703125E+02	  +2.3168698410574103E+04	
  +6.2770000000000000E+03	  +2.3468750000000000E+01	  +8.2000000000000000E+01	  +1.5480000305175781E+02	  +2.1624583624400821E+04	
  +6.2780000000000000E+03	  +2.3258750915527344E+01	  +8.1500000000000000E+01	  +7.0200000000000000E+02	  +2.2821683925699672E+04	
  +6.2790000000000000E+03	  +2.3445714950561523E+01	  +8.0500000000000000E+01	  +1.1411999511718750E+03	  +2.4859100744451673E+04	
  +6.2800000000000000E+03	  +2.3697620391845703E+01	  +8.0000000000000000E+01	  +7.7759997558593750E+02	  +2.4331743375697592E+04	
  +6.2810000000000000E+03	  +2.3579166412353516E+01	  +8.1000000000000000E+01	  +3.8519998168945312E+02	  +2.2945279720433286E+04	
  +6.2820000000000000E+03	  +2.3200000762939453E+01	  +8.3000000000000000E+01	  +8.2799995422363281E+01	  +2.1349116088173992E+04	
  +6.2830000000000000E+03	  +2.2806249618530273E+01	  +8.5000000000000000E+01	  +0.0000000000000000E+00	  +1.6732381302608166E+04	
  +6.2840000000000000E+03	  +2.2356250762939453E+01	  +8.7000000000000000E+01	  +0.0000000000000000E+00	  +1.6149208177269955E+04	
  +6.2850000000000000E+03	  +2.1850000381469727E+01	  +8.8500000000000000E+01	  +0.0000000000000000E+00	  +1.5706188319315261E+04	
  +6.2860000000000000E+03	  +2.1393751144409180E+01	  +8.9500000000000000E+01	  +0.0000000000000000E+00	  +1.5351078995423866E+04	
  +6.2870000000000000E+03	  +2.0943750381469727E+01	  +9.0500000000000000E+01	  +0.0000000000000000E+00	  +1.5036044438211487E+04	
  +6.2880000000000000E+03	  +2.0500000000000000E+01	  +9.1000000000000000E+01	  +0.0000000000000000E+00	  +1.4744990431803506E+04	
  +6.2890000000000000E+03	  +2.0100000381469727E+01	  +9.1500000000000000E+01	  +0.0000000000000000E+00	  +9.4900597017417731E+03	
  +6.2900000000000000E+03	  +1.9699998855590820E+01	  +9.2500000000000000E+01	  +0.0000000000000000E+00	  +9.0386982823983435E+03	
  +6.2910000000000000E+03	  +1.9250000000000000E+01	  +9.4000000000000000E+01	  +0.0000000000000000E+00	  +8.6762871700855958E+03	
  +6.2920000000000000E+03	  +1.8799999237060547E+01	  +9.5500000000000000E+01	  +0.0000000000000000E+00	  +8.3527555052702264E+03	
  +6.2930000000000000E+03	  +1.8400001525878906E+01	  +9.7000000000000000E+01	  +0.0000000000000000E+00	  +8.0675237954566537E+03	
  +6.2940000000000000E+03	  +1.8000000000000000E+01	  +9.9000000000000000E+01	  +0.0000000000000000E+00	  +7.7947100657273459E+03	
  +6.2950000000000000E+03	  +1.8584135055541992E+01	  +9.6500000000000000E+01	  +4.2479998779296875E+02	  +1.1660615534234072E+04	
  +6.2960000000000000E+03	  +2.0084135055541992E+01	  +9.1500000000000000E+01	  +7.9919995117187500E+02	  +1.3376354719988114E+04	
  +6.2970000000000000E+03	  +2.1034856796264648E+01	  +8.8000000000000000E+01	  +1.3535999755859375E+03	  +1.9414338497582412E+04	
  +6.2980000000000000E+03	  +2.2265625000000000E+01	  +8.3500000000000000E+01	  +2.0051999511718750E+03	  +2.2095575492708547E+04	
  +6.2990000000000000E+03	  +2.3349107742309570E+01	  +7.9000000000000000E+01	  +1.9583999023437500E+03	  +2.2343231091653433E+04	
  +6.3000000000000000E+03	  +2.4017143249511719E+01	  +7.5500000000000000E+01	  +2.2248000488281250E+03	  +2.2461281635573847E+04	
  +6.3010000000000000E+03	  +2.4530000686645508E+01	  +7.3000000000000000E+01	  +2.0160000000000000E+03	  +2.2933563556023986E+04	
  +6.3020000000000000E+03	  +2.4791250228881836E+01	  +7.1500000000000000E+01	  +1.7567999267578125E+03	  +2.3318278058035245E+04	
  +6.3030000000000000E+03	  +2.4746875762939453E+01	  +7.1000000000000000E+01	  +1.3500000000000000E+03	  +2.2677854476043416E+04	
  +6.3040000000000000E+03	  +2.4365625381469727E+01	  +7.2000000000000000E+01	  +9.5759997558593750E+02	  +2.1513993872517480E+04	
  +6.3050000000000000E+03	  +2.3813749313354492E+01	  +7.4000000000000000E+01	  +5.7600000000000000E+02	  +2.0376915022562018E+04	
  +6.3060000000000000E+03	  +2.3030000686645508E+01	  +7.7000000000000000E+01	  +6.8400001525878906E+01	  +1.6909153494425162E+04	
  +6.3070000000000000E+03	  +2.2350000381469727E+01	  +8.0000000000000000E+01	  +0.0000000000000000E+00	  +1.1745264706220903E+04	
  +6.3080000000000000E+03	  +2.1850000381469727E+01	  +8.2000000000000000E+01	  +0.0000000000000000E+00	  +1.0904197699380535E+04	
  +6.3090000000000000E+03	  +2.1299999237060547E+01	  +8.3500000000000000E+01	  +0.0000000000000000E+00	  +1.0304254223290700E+04	
  +6.3100000000000000E+03	  +2.0750000000000000E+01	  +8.4500000000000000E+01	  +0.0000000000000000E+00	  +9.8218400913055684E+03	
  +6.3110000000000000E+03	  +2.0250000000000000E+01	  +8.5500000000000000E+01	  +0.0000000000000000E+00	  +9.4226010569571226E+03	
  +6.3120000000000000E+03	  +1.9750000000000000E+01	  +8.6000000000000000E+01	  +0.0000000000000000E+00	  +9.0628720481408745E+03	
  +6.3130000000000000E+03	  +1.9299999237060547E+01	  +8.7000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.3140000000000000E+03	  +1.8850000381469727E+01	  +8.8500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.3150000000000000E+03	  +1.8350000381469727E+01	  +8.9500000000000000E+01	  +0.0000000000000000E+00	  -1.7683580274478423E+00	
  +6.3160000000000000E+03	  +1.7900001525878906E+01	  +9.1000000000000000E+01	  +0.0000000000000000E+00	  -3.5067660093528212E+02	
  +6.3170000000000000E+03	  +1.7450000762939453E+01	  +9.3000000000000000E+01	  +0.0000000000000000E+00	  -8.4257141362057689E+02	
